q1,q2,q3,q4,q5,q6,x_real,y_real,z_real
-0.010362927113668263,-0.3859441916095179,0.38968801498413086,-0.11222583452333623,-0.0006950537310999039,-4.7985707418263246e-05,-0.4496210413811533,-0.19224809932226766,0.16124809825031358
-0.010303322468892873,-1.1869190374957483,0.37778568267822266,0.09654974937438965,-0.07488996187318975,-5.990663637334137e-05,-0.2888938597601185,-0.1937185584139106,0.4654022512217798
-0.951184097920553,-1.1972015539752405,1.0390124320983887,-0.9273856321917933,-0.07423049608339483,-3.5587941304981996e-05,-0.375971268895328,0.18667876947247275,0.36954462685952094
-1.5749152342425745,-0.884887997304098,1.674440860748291,0.19791090488433838,-0.07922822633852178,-0.6466425100909632,-0.19601413764943365,0.23020911849044504,0.14986042150793258
-0.3971369902240198,-0.8886154333697718,0.6917939186096191,-0.7265294233905237,0.7163829207420349,-0.6465943495379847,-0.4944961479846221,0.015564668828635157,0.37693970486644257
1.7212355136871338,-2.262334648762838,2.3932082653045654,-2.002401653920309,-0.5409401098834437,-0.646618668233053,0.20577565461520375,-0.1194276381344032,0.2972053141100761
-1.3301942984210413,-1.7054465452777308,-1.3498576323138636,-3.6353920141803187,0.889762818813324,-0.6466305891620081,-0.12144296441458019,-0.18842662433786764,0.3574036483947973
-0.9082124868976038,-1.7678874174701136,-2.4278221766101282,-0.9235881010638636,0.9382622241973877,-0.6449936071978968,0.0004292198942632691,-0.2602708024946899,0.10992879540211367
-1.702881161366598,0.21115756034851074,-2.6270580927478235,-1.3504450956927698,0.9371005296707153,-0.6456382910357874,-0.16240961243286642,-0.004132587874112463,0.27329908725416147
-1.331524674092428,0.3639683723449707,-1.8632529417621058,0.8229421377182007,1.2677621841430664,-0.6456268469439905,-0.21671315375137845,0.3147261244656014,0.2618197758582938
-0.7630866209613245,-0.6967108885394495,-1.864283863698141,0.8230019807815552,1.2677741050720215,-0.6456621328936976,-0.15067773969709336,-0.044187673969022886,0.5171630135732368
-0.7630751768695276,-0.6915329138385218,-0.37074071565736944,1.7558470964431763,2.011337995529175,-0.6456502119647425,-0.2656825887065476,0.14650402078722224,0.38145120155737533
