time,J1_x,J1_y,J1_z,J2_x,J2_y,J2_z,J3_x,J3_y,J3_z,J4_x,J4_y,J4_z,J5_x,J5_y,J5_z,J6_x,J6_y,J6_z,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,eta_adaptive,R1_adaptive,R2_adaptive,mu_adaptive,ai_adaptive
0.0080,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1216,0.1115,0.2577,0.0000,-0.3836,0.0399,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2661,36.2075
0.0160,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1216,0.1115,0.2577,0.0000,-0.3836,0.0399,0.2384,0.0000,0.0000,0.4412,0.0266,0.0399,35.2645,36.2056
0.0240,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1216,0.1115,0.2577,0.0000,-0.3836,0.0400,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2661,36.2076
0.0320,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1216,0.1115,0.2577,0.0000,-0.3836,0.0399,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2660,36.2074
0.0400,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1217,0.1115,0.2578,0.0000,-0.3837,0.0398,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2673,36.2090
0.0480,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1217,0.1115,0.2578,0.0000,-0.3837,0.0398,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2668,36.2084
0.0560,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1217,0.1115,0.2578,0.0000,-0.3837,0.0398,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2665,36.2081
0.0640,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1217,0.1115,0.2578,0.0000,-0.3836,0.0398,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2664,36.2080
0.0720,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1216,0.1115,0.2578,0.0000,-0.3836,0.0398,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2659,36.2074
0.0800,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1217,0.1115,0.2577,0.0000,-0.3836,0.0400,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2663,36.2079
0.0880,0.0000,0.0000,0.1519,0.1806,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1180,0.1111,0.3396,-0.1217,0.1115,0.2577,0.0000,-0.3836,0.0400,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2664,36.2079
0.0960,0.0000,0.0000,0.1519,0.1806,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1181,0.1111,0.3396,-0.1217,0.1115,0.2578,0.0000,-0.3837,0.0399,0.2384,0.0000,0.0000,0.4413,0.0266,0.0399,35.2683,36.2102
0.1040,0.0000,0.0000,0.1519,0.1806,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1181,0.1111,0.3396,-0.1217,0.1115,0.2577,0.0000,-0.3836,0.0401,0.2385,0.0000,0.0000,0.4414,0.0266,0.0399,35.2690,36.2110
0.1120,0.0000,0.0000,0.1519,0.1806,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1181,0.1111,0.3396,-0.1217,0.1115,0.2577,0.0000,-0.3836,0.0400,0.2385,0.0000,0.0000,0.4414,0.0266,0.0399,35.2689,36.2110
0.1200,0.0000,0.0000,0.1519,0.1806,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1181,0.1111,0.3396,-0.1217,0.1115,0.2577,0.0000,-0.3837,0.0400,0.2384,0.0000,0.0000,0.4414,0.0266,0.0399,35.2701,36.2124
0.1280,0.0000,0.0000,0.1519,0.1806,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1181,0.1111,0.3396,-0.1217,0.1115,0.2577,0.0000,-0.3837,0.0400,0.2385,0.0000,0.0000,0.4414,0.0266,0.0399,35.2706,36.2130
0.1360,0.0000,0.0000,0.1519,0.1806,0.0019,0.3154,-0.0316,-0.0003,0.3358,-0.0328,0.1120,0.3358,-0.1181,0.1111,0.3396,-0.1217,0.1115,0.2577,0.0000,-0.3837,0.0400,0.2385,0.0000,0.0000,0.4414,0.0266,0.0399,35.2712,36.2138
